title,author,journal,date,link,new_article,new_citation,related,subject
Soliton Auto-generation Within Kerr Resonators under Pulsed-driving,"M Macnaughtan, Z Li, Y Xu, X Wei, Z Yang, S Coen…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11109312/,,,,disspiative kerr soliton
Quiet Point Dynamics in Photonic Molecule Microcombs,"K Twayana, M Girardi, V Torres-Company",2025 Conference on Lasers and Electro …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11110211/,,,,disspiative kerr soliton
Sub-Hz Intrinsic Linewidth Power Efficient Microcombs,"K Twayana, F Lei, V Torres-Company",2025 Conference on Lasers and Electro …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11109216/,,,,disspiative kerr soliton
On the Kerr-Induced Synchronizations of Cavity Solitons and Their Applications,G Moille,2025 Conference on Lasers and Electro-Optics Europe …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11109072/,,,,disspiative kerr soliton
Sideband Injection Locking of a Laser Cavity-Soliton,"A Cooper, A Cutrona, N Paul, F Getman, ST Chu…",2025 Conference on Lasers …,2025-08-21 05:25:27-2025,https://ieeexplore.ieee.org/abstract/document/11110621/,,,,"disspiative kerr soliton;Dist. Prof. David J. Moss, Dr.(honoris causa ..."
3D Soft Imprint Lithography for Characterization of Polycrystalline χ (2) Materials,"ÜL Talts, A Morandi, H Weigand, B Melo, R Quidant…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11111630/,,,,Photonic Computing 
Multifunctional Diffractive Optical Element for Microcavity Mode Control,"A Rouxel, C Peralle, S Calvez, O Gauthier-Lafaye…",2025 Conference on Lasers …,2025-08-20 01:43:47-2025,https://ieeexplore.ieee.org/abstract/document/11110466/,,,,Photonic Computing 
[HTML] Automatic discovery of optimal microwave photonic architectures in a complete topological space,"B Li, S Xu, T Lyu, R Qiu, Y Liu, W Zou",Optics Express,2025-08-18 03:40:42-2025,https://opg.optica.org/oe/fulltext.cfm?uri=oe-33-17-36305,,,Xiaoxiao Xue ;Myoung-Gyun Suh (서명균; 徐明均) ,silicon photonics;Photonic Computing 
[HTML] Photonic-aided Doppler-robust ISAC system based on index modulation and chirp multiplexing,"Z Yixiao, L Xuan, Z Shanghong, W Guodong…",Optics Express,2025-08-19 01:22:36-2025,https://opg.optica.org/oe/fulltext.cfm?uri=oe-33-17-35059,,,Xiaoxiao Xue ,
[HTML] Tunable microwave photonic mixer based on cascaded QCSE electro-absorption modulators for efficient frequency conversion,"H Khosravinezhad, H Keshavarz, M Mansorinezhad",Optics Continuum,2025-08-19 01:22:36-2025,https://opg.optica.org/optcon/fulltext.cfm?uri=optcon-4-8-1662,,,Xiaoxiao Xue ,
Ultra‐Compact and Ultra‐High Speed Topological Photonic Crystal Modulator Based on Thin Film Lithium Niobate,"G Chen, Y Liu, B Ge, M Zou, C Li, Y Liang, Y Yu, T Zhu…",Laser & Photonics Reviews,2025-08-19 01:22:36-,https://onlinelibrary.wiley.com/doi/abs/10.1002/lpor.202500380,,,Xiaoxiao Xue ;Xingchen Ji,
[PDF] Photonic Generation of Flexible and Adjustable Triangular and Square Waveforms Based on a Comparator,"J Feng, Y Jiang, J Xu, X Lan, Q Long, Y Luo",IEEE Photonics Journal,2025-08-19 01:22:36-2025,https://ieeexplore.ieee.org/iel8/4563994/4814557/11090012.pdf,,,Xiaoxiao Xue ,
"[HTML] Low-loss, highly tunable Sagnac loop reflectors and Fabry–Pérot cavities on thin-film lithium niobate","L Qi, A Khalatpour, JF Herrmann, T Park, D Dean…",Optics Letters,2025-08-19 01:22:36-2025,https://opg.optica.org/ol/fulltext.cfm?uri=ol-50-16-5173,,,Xiaoxiao Xue ;Michal Lipson ;Tobias Herr ;Xingchen Ji,
Integrated multi-format microwave signal generator using thin-film lithium niobite Mach-Zehnder modulator,"Y Zhang, C Liu, S Zhu, Y Zhang, Y Wang, M Cui…",Journal of Lightwave …,2025-08-19 01:22:36-2025,https://ieeexplore.ieee.org/abstract/document/11124257/,,,Xiaoxiao Xue ;Michal Lipson ;Tobias Herr ,
A Novel Wideband Frequency Measurement Approach Based on Dual Optical Frequency Combs,"Z Zhu, W Dong, Z Xie, K Yin, X Cheng, T Jiang",Journal of Lightwave Technology,2025-08-09 04:55:01-2025,https://ieeexplore.ieee.org/abstract/document/11095346/,,,Xiaoxiao Xue ;Tobias Herr ,
